Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2006-2007,Lowest Draw %,Ionikos,15,6,Win,4.0,8
2006-2007,Longest Unbeaten Streak,AEK,15,4,Win,2.0,3
2006-2007,Longest Unbeaten Streak,Olympiakos,15,1,Win,2.0,1
2006-2007,Longest Unbeaten Streak,Iraklis,15,4,Win,2.0,3
2006-2007,Highest Loss %,Ionikos,15,6,Win,4.0,8
2006-2007,Highest Loss %,Ergotelis,15,4,Win,2.0,3
2006-2007,Highest Loss %,Larisa,15,1,Win,2.0,1
2006-2007,Highest Win %,Olympiakos,15,1,Win,2.0,1
2006-2007,Highest Win %,AEK,15,4,Win,2.0,3
2006-2007,Highest Win %,Panathinaikos,15,3,Win,2.0,2
2005-2006,Lowest Draw %,Olympiakos,15,15,Win,234.0,610
2005-2006,Lowest Draw %,Atromitos,15,3,Win,2.0,2
2005-2006,Lowest Draw %,Panathinaikos,15,11,Win,35.0,89
2005-2006,Longest Unbeaten Streak,AEK,15,15,Win,234.0,610
2005-2006,Longest Unbeaten Streak,Olympiakos,15,15,Win,234.0,610
2005-2006,Longest Unbeaten Streak,Iraklis,15,10,Win,22.0,55
2005-2006,Highest Loss %,Akratitos,15,9,Win,14.0,34
2005-2006,Highest Loss %,Panionios,15,5,Win,3.0,5
2005-2006,Highest Loss %,Kallithea,15,4,Win,2.0,3
2005-2006,Highest Win %,Olympiakos,15,15,Win,234.0,610
2005-2006,Highest Win %,AEK,15,15,Win,234.0,610
2005-2006,Highest Win %,Panathinaikos,15,11,Win,35.0,89
